make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
PINGUELY,TLM 586X,1,3,3,,16088,1
PRADEEP AGRO INDUSTRY,PAL 977,1,1,1,,16173,1
MONITOWOC,4100W,1,1,1,,16508,1
MITSHUBISHI,SHAKTI 180 D,1,1,1,423,10793,1
PRIYAA CRANES,12 TONN HYDRAULIC CRANE,2000,2,2,224,5668,1
PUZZOLANA MACHINERY FABRICATORS,ZL 50 H,1,1,1,,12182,1
POCLAIN,CK90 EXCAVATOR,2000,2,2,360,5180,1
PREET TRACTORS PVT LTD,PREET 949,2000,1,1,,10278,1
MAIT,HR 130 DRILLING RIG,1,1,1,,12817,1
PUNJAB TRACTORS LIMITED,SWARAJ 8100,2000,1,1,339,11560,1
PREMIER LTD,SIGMA,2000,8,8,,9182,1
PAUL AGRO INDUSTRIES,PAUL-951 COMBINE HARVESTOR,1,1,1,,14566,1
PUNJAB TRACTORS LIMITED (SWARAJ),835 FE,1,1,1,340,14411,1
P&H CRANE,6250 TC,1,2,2,247,16687,1
P&H CRANE,9170 TC,1,1,1,247,16688,1
O & K GERMANY,MODULAR LOADER,1,1,1,,12266,1
OMEGA,PC 12000 CRANE,2000,2,2,337,4944,1
OMEGA,PC 9000 HYDRAULIC MOBILE CRANE,2000,2,2,337,8339,1
POCLAIN,CK170 EXCAVATOR,2000,2,2,360,5059,1
P&H CRANE,335 TC,2000,2,2,247,9142,1
POCLAIN,CK300 EXCAVATOR,2000,2,2,360,5118,1
P&H CRANE,430 CRANE,2000,1,1,247,13266,30000
P&H CRANE,440 TC CRANE,2000,1,1,247,13289,1
PETTIBONE,TKLS 100 CRANE,3595,2,2,,13912,1
NAKODA MACHINERY PVT LTD,HRB 150,1,1,1,,16843,1
NEW HOLLAND,3630 DLX,2000,1,1,335,7591,1
NEW HOLLAND,NH 7500,2000,1,1,335,7593,1
NEW HOLLAND,NH 3130,2000,1,1,335,6410,1
NEW HOLLAND,A4000 SUGARCANE HARVESTER,1,1,1,335,17323,1
P&H CRANE,1055 B-LC CRAWLER CRANE,1,2,2,247,12757,1
MAXCON ENGINEERS,1790 PAVER MACHINE,2000,2,2,,9208,1
MANITOU,MOBILE CRANE,1,2,2,,12746,1
MARSHAL,MARSHALL HC MARSHALL DEMAG CRANE,1,2,2,450,10321,0
MAN,25.280 FIRE BRIGADE,1,2,2,436,15912,1
MAN,CLA 16.220 FIRE BRIGADE,1,2,2,436,16462,1
JCB INDIA LIMITED,JS 120,1,2,2,326,16644,1
JOHN DEERE,5104 MS 14,2000,1,1,277,11230,1
JOHN DEERE,3032 E,2000,1,1,277,16359,1
JCB INDIA LIMITED,LIFTALL 1253 HYDRAULIC MOBILE CRANE,2000,1,1,326,13235,1
MANITOWOC,4100W,1,1,1,,17347,1
MASSEY FERGUSON,247 DI,1,1,1,376,17035,1
MAXO MAX,MIXINGPLANT IE 18.10,1,1,1,,10500,0
MARSMAN BRAND,SINGLE CLUTCH ROAD ROLLER,2000,2,2,231,6790,1
MISTUBISHI,F D20 FORKLIFT TRUCKS,2000,2,2,406,7679,1
JCB INDIA LIMITED,ROBOT 170,1,1,1,326,15731,1
JLG,40 HC,1,1,1,,16534,1
JOHN DEERE,1048 HARVESTER,100,1,1,277,16326,1
JOHN DEERE,5300 TRACTOR,1,1,1,277,15758,1
JOHN DEERE,5055 TRACTORS,1,1,1,277,16571,1
JOHN DEERE,5310S,2000,1,1,277,6525,1
JOHN DEERE,5204 TRACTOR,1,1,1,277,14501,1
JOHN DEERE,5050D TRACTORS,1,1,1,277,16504,1
JOHN DEERE,5610 TRACTOR,1,1,1,277,14507,1
JOHN DEERE,5042 TRACTOR,1,1,1,277,16713,1
JOHN DEERE,5038 D TRACTOR,2000,1,1,277,12975,1
JCB INDIA LIMITED,540-170 FORK LIFT,1,2,2,326,16403,1
JCB INDIA LIMITED,TLT 30D,1,2,2,326,16404,1
JCB INDIA LIMITED,JS 81,1,2,2,326,14664,1
MASSEY FERGUSON,MF 245DI,2000,1,1,376,6627,1
NEW HOLLAND,5500 WHEEL LOADER,1,1,1,335,17276,1
PINGUELY,860 TL,1,2,2,,15438,1
MS AGRO INDUSTRIES (HARVESTOR),MS 985 HARVESTOR,2000,2,2,280,13330,0
P&H CRANE,T 270 MOBILE CRANE,1,1,1,247,14272,1
PREET AGRO INDUSTRIES,749 HARVESTOR,2000,2,2,338,16417,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 8100 COMBINE,1,1,1,340,15708,1
P&H CRANE,600 XL CRANE,5853,2,2,247,13702,0
PUNJAB TRACTORS LIMITED (SWARAJ),FD 30 FORKLIFT,2000,2,2,340,6919,1
P&H CRANE,T 750 CRANE,1,1,1,247,12732,1
JLG,110 HX,1,1,1,,16208,1
JCB INDIA LIMITED,3DX EXCAVATOR LOADER,2000,1,1,326,7323,1
JLG,100 HX,1,2,2,,11447,1
JOHN DEERE,5610 BACK HOE LOADER,1,1,1,277,16032,1
JOHN DEERE,5310 BACK HOE LOADER,1,1,1,277,16566,1
JOHN DEERE,W 70 HARVESTER,1,1,1,277,16327,1
PREET AGRO INDUSTRIES,PREET 6049,2000,1,1,338,6424,1
PREET AGRO INDUSTRIES,PREET 5049,2000,1,1,338,6423,1
PREET AGRO INDUSTRIES,PREET 3549,2000,1,1,338,6421,1
MATHRU ENGINEERING WORKS,1246 SUPER DELUX,2000,1,1,404,10282,1
PREET AGRO INDUSTRIES,COMBINE HARVESTOR 987 A/C,2000,2,2,338,8581,1
PETTIBONE,80 HTC CRANES,3595,1,1,,16438,1
MAXMECH EQUIPMENTS,MDVA 925,1,1,1,230,12379,1
JOHN DEERE,5310 WHEEL LOADER,2000,2,2,277,14137,1
JLG,2646E SCISSOR LIFT,2000,2,2,,13182,1
JUNGHEINRICH,EFG320 SP 600 DZ,2000,1,1,,10330,1
JCB INDIA LIMITED,JS 140,1,2,2,326,11269,1
NEW HOLLAND,TD 90,1,1,1,335,17327,1
PANESAR COMBINE,TDC 513 COMBINE HARVESTOR,3440,1,1,,13261,4125
P&H CRANE,35T MOBILE CRANE,2000,2,2,247,13515,0
PERFORA DRILLING EQUIPMENT,ROCK BUGGY DRILLING RIGS,2000,1,1,,12955,1
MANITOU,MRT 2540,1,2,2,,11358,0
MANITOWOC,MANITOWOC CRAWLER CRANE,1,1,1,,13377,0
MAIT,HR 180 DRILLING RIGS,1,2,2,,12393,1
MARSHAL,A/R 61,6500,2,2,450,10858,1
MASSEY FERGUSON,MF 1035 DI (H.P.) DIESEL TRACTOR,2000,1,1,376,5404,1
JCB INDIA LIMITED,190/1110 SKID STEER LOADER,2000,2,2,326,5110,1
JAY KHODIYAR ENGINEERING WORKS,L-JK 108 PAVER,2000,1,1,,12874,1
JLG,120 HX CRANE,1,2,2,,12486,1
MERCEDES BENZ,SPRINTER 313 CDI,2150,2,2,452,17420,1
MASSEY FERGUSON,MF 1040,1,1,1,376,11261,1
MAN,CLA 25.220 TRANSIT MIXER,1,2,2,436,17191,1
MS AGRO INDUSTRIES (HARVESTOR),M S 785,1,1,1,280,11798,1
MISTUBISHI,F D12 FORK LIFT TRUCKS,2000,2,2,406,7680,1
MFI FABRICATIONS PRIVATE LTD,2522 MTC,1,1,1,,11978,0
METSO COMPACTION EQUIPMENT AB,DYNAPAC-CC 222VIBRATORY COMPACTO,2000,2,2,,9024,1
JCB INDIA LIMITED,430 Z BACK HOE LOADER,2000,2,2,326,8278,1
NEW HOLLAND,NH 3510,1,1,1,335,14356,1
MORIS,MP4V PAVER,2000,2,2,429,8356,1
S SURJIT SINGH ENGINEERING WORKS,ROAD ROLLER,1,1,1,,10585,1
S B H LTD,TOWABLE TOILET CART,1,1,1,275,11719,1
SWARAJ MAZDA LTD.,T 3500 / WT 48 D,3455,3,3,364,8273,6280
SAME DEUTZ-FAHR,SAME 603 HARVESTOR,2000,1,1,341,13550,0
SHANTUI,SD 16 SHANTUI BULLDOZER,2000,2,2,,9031,1
RACE,RACE 14000,2000,1,1,407,12270,1
RUBY ROLLERS,STATIC ROAD ROLLER,2000,1,1,,12961,1
SUMITIMO,LS 118,1,1,1,,12173,1
SWARAJ MAZDA LTD.,834 LX,2000,1,1,364,8508,1
SWARAJ MAZDA LTD.,SWARAJ TRACTOR 855 FE,2000,1,1,364,7696,1
SWARAJ MAZDA LTD.,SWARAJ 724 XM,1,1,1,364,15544,1
SWARAJ MAZDA LTD.,855 TX,2000,1,1,364,13309,0
STANDARD COMBINES PVT. LTD.,390 HARVESTOR,1,1,1,345,15735,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,SY205,1,1,1,426,17012,1
SAME DEUTZ-FAHR,AGROLUX 50,2000,1,1,341,13961,0
SAME DEUTZ-FAHR,SAME 453,2000,1,1,341,6439,1
SONALIKA,DI 47RX,1,1,1,234,15639,1
SONALIKA,725 DI,2000,1,1,234,7158,1
SONALIKA,DI 35,2000,1,1,234,6647,1
SONALIKA,730 DI,2000,1,1,234,7159,1
SONALIKA,SONALIKA 745,2000,1,1,234,7589,1
SONALIKA,732 III DI,2000,1,1,234,7161,1
STANDARD TRACTORS,STANDARD 2022,2000,1,1,346,7969,1
STANDARD TRACTORS,STANDARD 340,1,1,1,346,16048,1
SJ PETROLEUM MACHINERY CO,XJ550 WORKOVER RIG,2000,1,1,,13205,1
SWARAJ MAZDA LTD.,839 FE,2000,1,1,364,8501,1
SWARAJ MAZDA LTD.,744 BX,2000,1,1,364,8502,1
SWARAJ MAZDA LTD.,735 SD,1,1,1,364,10940,1
SWARAJ MAZDA LTD.,733 FE,2000,1,1,364,8494,1
SWARAJ MAZDA LTD.,SWARAJ 855 DLX,2000,1,1,364,6650,1
SAME DEUTZ-FAHR,SAME 393 DHANRAJ,2000,1,1,341,7167,1
SAME DEUTZ-FAHR,SAME 603,2000,1,1,341,6443,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,MOTOR GRADER PQ 190II,2000,1,1,426,11974,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,SY210C,1,1,1,426,16186,1
SOILMEC SPA,R 416,2000,2,2,307,10957,1
SOLES,CRANE,1,2,2,,11382,0
SOLMEC EARTHMOVERS EQUIPMENTS,PETANTED PAVER,2000,2,2,394,8721,1
S B H LTD,WATER CART TOWABLE,2000,2,2,275,6958,1
PUNJAB TRACTORS LIMITED (SWARAJ),834 LX,2000,1,1,340,11926,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 855 FE,2000,1,1,340,7598,1
PREET TRACTORS PVT LTD,PREET 4049,2000,1,1,,9030,1
PUNJAB TRACTORS LIMITED,744FX,4800,1,1,339,7061,1
PUNJAB TRACTORS LIMITED,SWARAJ 722 SUPER,2000,1,1,339,6427,1
PUNJAB TRACTORS LIMITED,SWARAJ 722 FE,2000,1,1,339,6426,1
PUNJAB TRACTORS LIMITED,843 XM,1,1,1,339,14427,1
SAMSUNG,SAMSUNG LPG FORKLIFT,1,2,2,,10277,0
JOHN DEERE,JD 5203,2000,1,1,277,7876,1
JCB INDIA LIMITED,SSL 170,1,1,1,326,16629,1
JAY KHODIYAR ENGINEERING WORKS,ROYAL MINI TRACTOR,1,1,1,,16979,1
JCB INDIA LIMITED,432 WHEEL LOADER,1,2,2,326,16743,1
JOHN DEERE,5104 HS 104,2000,1,1,277,10540,1
STANDARD TRACTORS,STANDARD 345,2000,1,1,346,6477,1
STANDARD TRACTORS,STANDARD 330,2000,1,1,346,7967,1
SWARAJ MAZDA LTD.,843 XM,2000,1,1,364,14139,1
SWARAJ MAZDA LTD.,744 FE,2000,1,1,364,8334,1
SWARAJ MAZDA LTD.,722 SUPER,2000,1,1,364,8498,1
SWARAJ MAZDA LTD.,T3500 ZT54,3598,3,3,364,13111,1
SOLMEC EARTHMOVERS EQUIPMENTS,ASPHALT PAVER FINISHER - S-MF-780,2000,2,2,394,8359,1
SUMITIMO,SH 210-5,1,2,2,,12227,1
STANDARD CORPORATION INDIA LTD,HMC 11000 CRANE,2000,1,1,,13359,0
RUSSIAN TRACTOR LTD,1035 DI,1,1,1,,10671,0
RG PETRO MACHINERY GROUP CO LTD,XJ550 WORKOVER RIG,1,5,5,,16614,1
SONALIKA,DI 60,1,1,1,234,16033,1
JAYANT AGRO INDUSTRIES,DI JAYANT TRACTOR,1,1,1,,12442,1
JOHN DEERE,5410 TRACTOR,1,1,1,277,14505,1
JCB INDIA LIMITED,3D BACKHOE,2000,2,2,326,6541,6990
JUPITER ROCK DRILLS(P) LTD,WAGON DRILL JRD MODEL 120,2000,2,2,422,8235,1
JAY KHODIYAR ENGINEERING WORKS,SUBH MECHANICAL ASPHALT PAVER,2000,1,1,,8987,1
JCB INDIA LIMITED,VIBROMAX VM 115,1,1,1,326,11736,1
JCB INDIA LIMITED,VMT 850A COMPACTOR,2000,1,1,326,13336,0
SS AUTO INDUSTRIES,SPEED 1246,1,1,1,,16794,1
SURINDERA AGRO,SURINDERA 930,2000,1,1,,12275,7800
SHANTUI,SD 13 BULLDOZER,1,1,1,,12445,1
SANDVIK TAMROCK CORP.,DC 120 DRILLING RIGS,1,2,2,342,12875,1
SAME DEUTZ-FAHR,AGROMAXX 45,1,1,1,341,16600,1
SAME DEUTZ-FAHR,SAME 603 EMPEROR,2000,1,1,341,7172,1
SAME DEUTZ-FAHR,SAME 36 DI,2000,1,1,341,10923,1
SAS MOTORS,ANGAD 350 DI,1,1,1,343,15482,1
SHRACHI POWER TRAIL,POWER TILLER SF 15,2000,1,1,379,13641,0
SAME DEUTZ-FAHR,SAME 503,3000,1,1,341,6442,1
SATNAM ENGINEERING WORKS,SATNAM 952 COMBINE HARVESTOR,2000,1,1,,13640,0
JOHN DEERE,5310S HARVESTOR,2000,2,2,277,7688,1
JLG,600S HILIFT,1,1,1,,16692,1
JLG,460S HILIFT,1,1,1,,16693,1
JOHN DEERE,5103 E,2000,1,1,277,7991,1
JOHN DEERE,5036 TRACTOR,1,1,1,277,15656,0
JOHN DEERE,5060 TRACTOR,1,1,1,277,16383,1
JOHN DEERE,5610 WITH HARVESTOR,1,1,1,277,14560,1
JUPITER ROCK DRILLS(P) LTD,CD 110 CRAWLER DRILL,2000,1,1,422,12904,1
SWARAJ MAZDA LTD.,SAMRAT GARBAGE,1,3,3,364,14255,1
SAMSUNG,5530 MOBILE CRANE,1,1,1,,15556,1
SHRACHI POWER TRAIL,POWER TILLER SF-12,2000,1,1,379,10545,1
SONALIKA,DI 39 RX,2780,1,1,234,13984,2060
SONALIKA,55 DI,2000,1,1,234,7163,1
SONALIKA,60 DI,2000,1,1,234,7164,1
STANDARD TRACTORS,STANDARD 475,2000,1,1,346,6480,1
SONALIKA,DI 734 TRACTOR,2000,1,1,234,13122,1
SONALIKA,BAAGBAN DI 30,1797,1,1,234,12533,1
PUNJAB TRACTORS LIMITED,SWARAJ 855 GX,2000,1,1,339,7149,1
PUNJAB TRACTORS LIMITED,SWARAJ 855,2000,1,1,339,6433,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 784 FE,2000,1,1,340,7597,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 733 FE,2000,1,1,340,7600,1
PREET TRACTORS PVT LTD,PREET 4549,1,1,1,,10106,0
PUNJAB TRACTORS LIMITED,722 SUPER LX,2000,1,1,339,7154,1
PUNJAB TRACTORS LIMITED,724 LX,2000,1,1,339,7155,1
PUNJAB TRACTORS LIMITED,SWARAJ 834 FE,2000,1,1,339,6432,1
STANDARD COMBINES PVT. LTD.,HMC 9000 CRANE,2000,2,2,345,5270,1
SUMITIMO,SH800LHD-3B,2000,1,1,,13191,1
JCB INDIA LIMITED,3DXL,1,1,1,326,10591,1
JCB INDIA LIMITED,ROBOT WHEEL LOADER,2000,2,2,326,10459,1
JCB INDIA LIMITED,3DX BACKHOE,2000,2,2,326,6542,6990
JCB INDIA LIMITED,JCB 430Z WHEEL LOADER,2000,2,2,326,7373,1
JCB INDIA LIMITED,4D EXCAVATOR,2000,3,3,326,9121,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,QY 50C,1,2,2,426,14104,1
SUMITIMO,SUMITOM CRAWLER CRANE,1,1,1,,13374,0
SWARAJ MAZDA LTD.,ZT 54 DRILLING RIGS,1,2,2,364,17196,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 835 FE,1,1,1,340,14410,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 722 FE,2000,1,1,340,7599,1
PREET TRACTORS PVT LTD,PREET 354,1,1,1,,10637,1
PALFINGER CRANES INDIA LTD,PK 10000,1,3,3,,16750,1
R S ENTERPRISES,STATIC ROAD ROLLER,2000,1,1,440,8593,1
ROVER BRAND,STATIC ROAD ROLLER,2000,2,2,451,8886,1
SWARAJ MAZDA LTD.,PRESTIGE MOBILE CLINIC,3598,3,3,364,13430,1
SURELIYA ENGINEERING WORKS,T 800 VIBRATORY TANDEM ROLLER,2000,2,2,219,12766,1
SHANTUI,SG 18,1,3,3,,11649,0
SHANTUI,SR 12,2000,2,2,,13228,1
SHAKTI MINING EQUIPMENT PVT LTD,S MAN 11,1,1,1,,12217,8290
STANDARD COMBINES PVT. LTD.,C-514 HARVESTOR,2000,1,1,345,12919,1
S B H LTD,HYDRALIC TOWABLE STEP LADDER,1,1,1,275,11720,1
JOHN DEERE,5103 EXCAVATORS,1,1,1,277,14498,1
JCB INDIA LIMITED,506C TELESCOPIC FORK LIFT,1,1,1,326,12800,1
JESSOP  & COMPANY LTD,810 DIESEL ROAD ROLLER,2000,2,2,367,6779,1
JCB INDIA LIMITED,JS 80,2000,3,3,326,7142,1
SONALIKA,DI 20 TRACTOR,1,1,1,234,17028,1
SDLG,LG 958 WHEEL LOADER,1,1,1,,17403,1
SWARAJ MAZDA LTD.,834 FE,2000,1,1,364,7990,1
SAME DEUTZ-FAHR,SAME 603 WHEEL LOADER,1,1,1,341,16484,1
SWARAJ MAZDA LTD.,V 26 TCI ID AMB,2000,2,2,364,8641,1
SHANTUI,SD 23,2000,2,2,,13284,0
JUNGHEINRICH,EFG 316-320,1,1,1,,12499,1
JCB INDIA LIMITED,456ZX WHEEL LOADER,2000,2,2,326,4879,1
JCB INDIA LIMITED,160/170 SKID STEER LOADER,2000,2,2,326,4880,1
JCB INDIA LIMITED,JCB- 4DX BACKHOE LOADER,2000,2,2,326,7921,1
JCB INDIA LIMITED,4D BACKHOE,2000,2,2,326,6544,1
JCB INDIA LIMITED,JS 75 TRACKED EXCAVATOR,2000,2,2,326,4921,1
JCB INDIA LIMITED,JS 330 TRACKED EXCAVATOR,2000,2,2,326,4922,1
JCB INDIA LIMITED,JCB 4CX,2000,2,2,326,6966,1
JCB INDIA LIMITED,430Z TRACKED EXCAVATOR,2000,2,2,326,8305,1
STANDARD CORPORATION INDIA LTD,HMC 13000 CRANE,1,1,1,,14343,1
STANDARD CORPORATION INDIA LTD,HMC 15000 CRANE,2000,1,1,,13127,1
SAME DEUTZ-FAHR,60.70 HARVESTOR,1,1,1,341,14572,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,QY 25C,1,2,2,426,15134,1
SONALIKA,DI 45,1,1,1,234,11326,0
SONALIKA,SONALIKA 735,2000,1,1,234,7588,1
SONALIKA,DI 42 RX,1,1,1,234,14548,1
SONALIKA,SONALIKA DI 750,2000,1,1,234,5415,1
SWARAJ MAZDA LTD.,SWARAJ MAZDA GENERATOR VAN,3450,3,3,364,13018,8800
JCB INDIA LIMITED,VMT 860,1,2,2,326,16546,1
JCB INDIA LIMITED,LIFTALL 1235,1,1,1,326,15881,1
JLG,80 HX,1,1,1,,15808,1
JLG,1350SJP,1,1,1,,16657,1
JCR  DRILLSOL,JCR CD 400-C,1,1,1,,16153,1
JCB INDIA LIMITED,JCB 2DX,1,1,1,326,16050,1
SOLID INDIA LTD,SIL 450 SW PAVER,2000,1,1,,13046,1
STANDARD COMBINES PVT. LTD.,HMC 13000 CRANE,2000,1,1,345,12986,1
STANDARD COMBINES PVT. LTD.,TSC-513,3455,1,1,345,14105,6380
SANY HEAVY INDUSTRIES INDIA PVT LTD,SY215C,1,1,1,426,16675,1
STANDARD TRACTORS,STANDARD 1620,2000,1,1,346,7968,1
STANDARD TRACTORS,STANDARD 2225,2000,1,1,346,7970,1
STANDARD TRACTORS,STANDARD 335,2000,1,1,346,6476,1
ROOP RAI AGRO INDIA,930 COMBINE HARVESTOR,2000,2,2,,13167,1
SAMSUNG,SE 210 LC3,1,1,1,,10985,1
SIMPSON AND CO.,VETMIX PAVER FINISHER,2000,2,2,445,8733,2000
SPEED CRAFT,DR 810,1,1,1,,10967,1
SUMITIMO,GC 78 RMF,1,2,2,,11550,1
SHANTUI,SD32W BULLDOZER,1,2,2,,12666,1
SINGH QUARRY EQUIP,STATIC ROAD ROLLER,2000,2,2,243,6791,1
SWARAJ MAZDA LTD.,855 BACK HOE LOADER,2000,1,1,364,13750,0
SOLID STEEL PLANT MANUFACTURER,ASPHALT PAVER FINISHER MACHINE,2000,2,2,439,8573,1
SAME DEUTZ-FAHR,SAME 503 COMMANDO,2000,1,1,341,7170,1
SAME DEUTZ-FAHR,603 DI,2000,1,1,341,7516,1
SCHWING STETTER INDIA PVT LTD,S36X CONCRETE PUMP,1,2,2,424,17350,1
SAS MOTORS,ANGAD 240 D,2000,1,1,343,6475,1
SONALIKA,DI 755 DC,2000,1,1,234,8090,1
STALLION,325 DI TRACTOR,2000,1,1,,13072,1
SWARAJ MAZDA LTD.,SAWRAJ 724 FE,2000,1,1,364,6649,1
SWARAJ MAZDA LTD.,735 LX,2000,1,1,364,8499,1
SHANTUI,132KW GRADER,1,2,2,,11644,0
SIMPLEX ENGG,SIMPLEX DRAM VIBRATOR,2595,1,1,,13844,1
SWARAJ MAZDA LTD.,SWARAJ MAZDA AMBULANCE,1,14,14,364,10693,0
SHHOPF,F 396C,1,1,1,,14437,1
RACE,12000--CRANE,2000,2,2,407,7701,1
RASHRON ENERGY AND AUTO PVT LTD,22 SR NO 3802 EXCAVATOR,1,1,1,,10630,0
SANY HEAVY INDUSTRIES INDIA PVT LTD,SR 250,1,1,1,426,15453,1
SHIV SHAKTI ROAD EQUIPMENTS PVT. LTD.,PAVER FINISHER MECHANICAL HYD ATT,2000,1,1,,9134,1
SWARAJ MAZDA LTD.,S W 8100 COMBINE,2000,3,3,364,8601,1
FORCE MOTORS,BALWAN 300,2000,1,1,314,6349,1
SHANDONG LINGONG CONSTRUCTION MACHINERY CO LTD,LG 938,2200,2,2,,13432,0
SWARAJ MAZDA LTD.,WV 26 AMBULANCES,1,10,10,364,15566,1
SANDVIK TAMROCK CORP.,DQ 240 DRILLING RIGS,1,1,1,342,16563,1
SDLG,LG 938 WHEEL LOADER,1,1,1,,16574,1
SANY HEAVY INDUSTRIES INDIA PVT LTD,SR 200,1,1,1,426,16074,1
SAME DEUTZ-FAHR,AGROLUX 70 HARVESTOR,1,1,1,341,15737,1
SOLMEC EARTHMOVERS EQUIPMENTS,PAVER FINISHER,2000,2,2,394,8164,1
SWARAJ MAZDA LTD.,WT50 TC DENTAL VAN,2000,6,6,364,12818,1
SHRI CHINNAMMEN ENG WORKS,CR 919,1,1,1,,12074,1
